Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jonathan Ornelas,25,92,"Maj-AL,Maj-NL","Atlanta,Texas",6,10,9,1,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0.222,0.3,0.222,0.522,680716
Tirso Ornelas,25,195,Maj-NL,San Diego,7,16,14,0,1,0,0,0,1,2,0,2,0,0,0,1,0,0,0.071,0.188,0.071,0.259,672359
Joey Ortiz,26,22,Maj-NL,Milwaukee,158,529,489,63,110,18,1,7,45,30,0,78,3,7,0,10,14,3,0.225,0.274,0.309,0.583,687401
Alejandro Osuna,22,41,Maj-AL,Texas,63,176,151,12,32,4,0,2,15,21,1,34,2,0,2,1,5,4,0.212,0.313,0.278,0.591,696030
James Outman,28,41,"Maj-AL,Maj-NL","Los Angeles,Minnesota",59,148,134,19,18,5,1,6,11,12,0,63,2,0,0,0,1,0,0.134,0.216,0.321,0.537,681546
Marcell Ozuna,34,41,Maj-NL,Atlanta,145,592,487,61,113,19,0,21,68,94,2,144,3,0,7,11,0,0,0.232,0.355,0.4,0.756,542303
Andy Pages,24,7,Maj-NL,Los Angeles,171,679,632,76,162,28,1,27,87,29,0,146,10,2,6,9,14,7,0.256,0.297,0.432,0.729,681624
Pedro Pag\xc3\xa9s,26,43,Maj-NL,St. Louis,112,389,361,38,83,15,0,11,45,19,1,107,3,3,3,9,0,0,0.23,0.272,0.363,0.635,686780
Joshua Palacios,29,149,Maj-AL,Chicago,51,145,128,11,26,4,0,3,9,12,0,36,4,1,0,0,0,0,0.203,0.292,0.305,0.596,641943
Richie Palacios,28,41,Maj-AL,Tampa Bay,17,48,42,10,14,2,0,1,3,5,0,9,0,0,1,3,4,0,0.333,0.396,0.452,0.848,680700
Isaac Paredes,26,42,Maj-AL,Houston,102,438,378,53,96,15,1,20,53,50,0,76,8,0,2,10,0,1,0.254,0.352,0.458,0.809,670623
Kyren Paris,23,137,Maj-AL,Los Angeles,44,140,126,20,24,4,1,6,11,10,0,59,3,0,0,1,7,1,0.19,0.266,0.381,0.647,677347
Vinnie Pasquantino,27,41,Maj-AL,Kansas City,160,682,621,72,164,33,1,32,113,49,5,107,7,0,5,14,1,0,0.264,0.323,0.475,0.798,686469
Graham Pauley,24,41,Maj-NL,Miami,62,184,161,18,36,9,1,4,11,21,0,36,0,1,1,1,2,0,0.224,0.311,0.366,0.678,688363
Joc Pederson,33,41,Maj-AL,Texas,96,306,265,28,48,10,1,9,26,34,0,65,5,0,1,5,2,0,0.181,0.285,0.328,0.614,592626
Liover Peguero,24,55,Maj-NL,Pittsburgh,33,88,80,9,16,1,0,4,8,6,0,25,2,0,0,3,4,0,0.2,0.273,0.363,0.635,678894
Jeremy Pe\xc3\xb1a,27,49,Maj-AL,Houston,125,543,493,68,150,30,2,17,62,35,2,93,12,1,2,9,20,2,0.304,0.363,0.477,0.84,665161
Oswald Peraza,25,42,Maj-AL,"Los Angeles,New York",106,265,244,24,40,6,0,5,20,17,0,80,2,0,1,6,9,0,0.164,0.223,0.25,0.473,672724
Geraldo Perdomo,25,41,Maj-NL,Arizona,161,720,597,98,173,33,5,20,100,94,1,83,10,8,11,11,27,6,0.29,0.389,0.462,0.851,672695
Jhonny Pereda,29,48,Maj-AL,"Athletics,Minnesota",28,78,69,4,17,6,0,0,4,8,0,21,0,1,0,1,0,0,0.246,0.325,0.333,0.658,640902
Everson Pereira,24,44,Maj-AL,Tampa Bay,23,73,65,7,9,1,0,2,8,7,0,28,0,0,1,2,2,0,0.138,0.219,0.246,0.465,677592
Salvador Perez,35,41,Maj-AL,Kansas City,155,641,597,54,141,35,0,30,100,28,5,125,12,0,1,14,0,0,0.236,0.284,0.446,0.729,521692
Wenceel P\xc3\xa9rez,25,31,Maj-AL,Detroit,106,403,363,49,86,18,4,13,45,31,0,94,3,1,5,6,8,3,0.237,0.299,0.416,0.714,672761
Blake Perkins,28,22,Maj-NL,Milwaukee,60,189,170,26,38,7,2,3,20,18,0,53,1,0,0,4,7,2,0.224,0.302,0.341,0.643,663368
Tristan Peters,25,87,Maj-AL,Tampa Bay,4,12,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,671976
Tommy Pham,37,41,Maj-NL,Pittsburgh,120,449,392,44,96,17,1,10,52,50,3,94,2,0,5,12,5,3,0.245,0.33,0.37,0.7,502054
Kevin Pillar,36,169,Maj-AL,Texas,20,43,43,6,9,2,0,0,1,0,0,8,0,0,0,0,3,0,0.209,0.209,0.256,0.465,607680
Jorge Polanco,31,19,Maj-AL,Seattle,150,576,519,71,135,31,0,29,86,46,1,94,3,3,5,8,6,3,0.26,0.321,0.487,0.809,593871
Logan Porter,29,144,Maj-NL,San Francisco,4,9,7,2,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0.143,0.333,0.143,0.476,682515
Yohel Pozo,28,41,Maj-NL,St. Louis,67,168,160,16,37,8,0,5,19,7,0,22,0,0,1,4,0,0,0.231,0.262,0.375,0.637,650968
C\xc3\xa9sar Prieto,26,68,Maj-NL,St. Louis,3,6,6,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.167,0.167,0.167,0.333,693409
Jurickson Profar,32,41,Maj-NL,Atlanta,80,371,318,56,78,16,1,14,43,48,0,59,5,0,0,4,9,2,0.245,0.353,0.434,0.787,595777
Edgar Quero,22,41,Maj-AL,Chicago,111,403,365,31,98,17,0,5,36,32,0,71,4,0,2,8,0,1,0.268,0.333,0.356,0.689,700337
Ceddanne Rafaela,24,37,Maj-AL,Boston,159,599,556,86,136,34,4,16,63,30,0,121,8,3,2,9,20,5,0.245,0.292,0.406,0.698,678882
Cal Raleigh,28,19,Maj-AL,Seattle,171,759,642,118,161,26,0,65,133,105,20,205,9,0,3,7,14,4,0.251,0.362,0.595,0.957,663728
Luke Raley,30,31,Maj-AL,Seattle,76,224,187,24,37,8,0,4,19,19,0,66,14,3,1,2,2,1,0.198,0.317,0.305,0.622,670042
Agust\xc3\xadn Ram\xc3\xadrez,23,41,Maj-NL,Miami,136,585,537,72,124,33,1,21,67,36,2,113,8,0,4,13,16,3,0.231,0.287,0.413,0.701,682663
Jos\xc3\xa9 Ram\xc3\xadrez,32,37,Maj-AL,Cleveland,161,685,602,104,170,34,3,30,86,70,23,76,8,0,5,9,44,8,0.282,0.362,0.498,0.86,608070
Bryan Ramos,23,63,Maj-AL,Chicago,4,12,12,1,2,2,0,0,2,0,0,4,0,0,0,0,0,0,0.167,0.167,0.333,0.5,682868
Heliot Ramos,25,41,Maj-NL,San Francisco,157,695,620,85,159,24,1,21,69,52,2,158,17,0,6,16,6,4,0.256,0.328,0.4,0.728,671218
John Rave,27,41,Maj-AL,Kansas City,72,175,153,18,30,5,0,4,14,18,0,46,1,2,1,1,7,2,0.196,0.283,0.307,0.59,670231
Colin Rea,34,222,Maj-NL,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,607067
J.T. Realmuto,34,30,Maj-NL,Philadelphia,138,567,519,60,135,28,2,13,55,35,1,132,9,0,3,13,8,2,0.26,0.316,0.397,0.713,592663
Rob Refsnyder,34,38,Maj-AL,Boston,72,215,187,29,49,12,0,9,30,25,1,56,1,0,2,6,3,0,0.262,0.349,0.471,0.819,608701
Hunter Renfroe,33,172,Maj-AL,Kansas City,35,108,99,5,18,6,0,0,4,8,0,21,0,0,1,4,0,0,0.182,0.241,0.242,0.483,592669
Luis Rengifo,28,41,Maj-AL,Los Angeles,147,541,501,55,119,16,3,9,43,33,0,104,3,1,3,7,10,7,0.238,0.287,0.335,0.622,650859
Pablo Reyes,31,148,Maj-AL,New York,24,34,31,4,6,1,0,0,2,2,0,10,0,1,0,0,1,0,0.194,0.242,0.226,0.468,622569
Bryan Reynolds,30,41,Maj-NL,Pittsburgh,154,654,587,68,144,38,3,16,73,57,1,173,7,0,3,15,3,2,0.245,0.318,0.402,0.72,668804
Ben Rice,26,31,Maj-AL,New York,144,551,485,76,123,29,4,27,69,52,0,108,9,0,3,18,3,2,0.254,0.335,0.497,0.832,700250
Austin Riley,28,98,Maj-NL,Atlanta,102,447,416,54,108,20,1,16,54,27,1,128,3,0,1,9,2,1,0.26,0.309,0.428,0.737,663586
Ryan Ritter,24,41,Maj-NL,Colorado,60,207,187,22,45,9,3,1,18,10,0,61,5,4,1,7,3,1,0.241,0.296,0.337,0.632,690022
Leo Rivas,27,19,Maj-AL,Seattle,55,132,107,20,24,2,0,2,10,24,0,33,1,0,0,1,6,0,0.224,0.371,0.299,0.67,660844
