Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jack Winkler,26,55,Maj-NL,Miami,14,16,16,2,4,2,0,0,0,0,0,4,0,0,0,0,1,0,0.25,0.25,0.375,0.625,676466
Masyn Winn,23,61,Maj-NL,St. Louis,129,537,491,72,124,27,0,9,51,34,0,102,8,2,2,11,9,5,0.253,0.31,0.363,0.673,691026
Brett Wisely,26,42,Maj-NL,"Atlanta,San Francisco",26,63,54,5,10,4,0,1,10,7,0,14,0,2,0,0,1,1,0.185,0.279,0.315,0.594,689172
Bobby Witt Jr.,25,41,Maj-AL,Kansas City,157,687,623,99,184,47,6,23,88,49,8,125,8,0,7,7,38,9,0.295,0.351,0.501,0.852,677951
Connor Wong,29,41,Maj-AL,Boston,63,188,168,16,32,8,0,0,7,16,0,42,1,1,2,7,2,1,0.19,0.262,0.238,0.5,657136
James Wood,22,41,Maj-NL,Washington,157,689,598,87,153,38,0,31,94,85,8,221,3,0,3,12,15,7,0.256,0.35,0.475,0.825,695578
Gage Workman,25,192,"Maj-AL,Maj-NL",Chicago,12,17,16,0,3,1,0,0,2,1,0,7,0,0,0,0,1,0,0.188,0.235,0.25,0.485,669398
Austin Wynns,34,97,"Maj-AL,Maj-NL","Athletics,Cincinnati",39,110,103,13,30,8,0,6,21,5,0,32,0,1,1,3,0,0,0.291,0.321,0.544,0.865,642851
Mike Yastrzemski,34,41,"Maj-AL,Maj-NL","Kansas City,San Francisco",146,558,477,68,111,28,1,17,46,72,4,108,2,2,5,7,7,2,0.233,0.333,0.403,0.735,573262
Christian Yelich,33,22,Maj-NL,Milwaukee,159,682,606,91,157,22,0,29,103,69,6,176,6,0,1,6,17,6,0.259,0.34,0.439,0.779,592885
Nick Yorke,23,41,Maj-NL,Pittsburgh,22,72,69,7,16,3,0,1,8,3,0,15,0,0,0,1,1,0,0.232,0.264,0.319,0.583,694377
Masataka Yoshida,31,37,Maj-AL,Boston,58,212,195,16,54,11,0,4,28,10,0,25,3,0,4,3,3,0,0.277,0.316,0.395,0.711,807799
Cole Young,21,41,Maj-AL,Seattle,77,257,223,24,47,7,1,4,24,28,1,47,2,2,2,4,1,0,0.211,0.302,0.305,0.607,702284
Jacob Young,25,41,Maj-NL,Washington,120,364,324,34,75,10,1,2,31,27,0,65,3,9,1,7,15,11,0.231,0.296,0.287,0.583,696285
Jared Young,29,41,Maj-NL,New York,22,47,43,5,8,1,0,4,6,2,0,16,1,0,1,1,0,0,0.186,0.234,0.488,0.722,676724
